     istep               E_tot               E_kin               E_pot              F_norm                Temp            Pressure
                        kJ/mol              kJ/mol              kJ/mol         kJ/(mol Å)                   K                  Pa
     131           71.82504286         26.42700465         45.39803820        431.70242083        151.35419895        641.42003795
     132           71.64687114         29.70126854         41.94560260        369.27334306        170.10674373      12362.42143609
     133           71.56219040         31.57425288         39.98793752        330.21923383        180.83380293      22909.16087068
     134           71.75250555         29.85085321         41.90165234        357.26117023        170.96345329      27198.84168421
     135           72.12120309         25.93703070         46.18417239        414.77199364        148.54799312      22331.21802311
     136           72.38991454         23.45714662         48.93276792        440.89424988        134.34506418       8353.62977815
     137           72.40103389         24.40135286         47.99968103        407.30083856        139.75277424     -12102.14330876
     138           72.29762696         26.97571437         45.32191259        327.72032758        154.49679950     -34763.32002377
     139           72.37161443         27.60007788         44.77153655        263.29795930        158.07268865     -54708.84524872
     140           72.73723378         24.94494177         47.79229201        283.28502734        142.86604662     -67347.59601906
     141           73.19376321         21.53411432         51.65964889        345.69297400        123.33136749     -69565.09004739
     142           73.44087251         21.04313597         52.39773655        379.07048147        120.51940920     -60894.42388195
     143           73.41348429         24.22536537         49.18811892        368.95318439        138.74484901     -44062.13823927
     144           73.36041937         28.01054905         45.34987032        349.34670815        160.42356178     -24279.33642341
     145           73.57372127         28.83493763         44.73878364        365.50169001        165.14504554      -7376.47935950
     146           74.06819415         26.53579568         47.53239847        409.78258446        151.97727294       2292.82988702
     147           74.56659312         24.49538292         50.07121020        434.26748073        140.29130837       3115.16078081
     148           74.80257946         25.88126589         48.92131357        409.70852942        148.22861381      -3744.77474763
     149           74.80389328         30.13154129         44.67235199        346.88207872        172.57102553     -15112.93013334
     150           74.84935269         33.52636323         41.32298947        299.70902364        192.01403701     -26747.30860493
     151           75.15381782         33.19505741         41.95876041        322.53428348        190.11656406     -34230.33865636
     152           75.62607055         30.17974155         45.44632900        380.65821313        172.84708072     -33995.87139783
     153           75.96218650         28.21959549         47.74259101        407.70304129        161.62082407     -24528.41541742
     154           75.97519680         29.57404325         46.40115355        375.34177494        169.37809203      -7240.42315354
     155           75.80543571         32.44885061         43.35658510        298.80524393        185.84284731      13699.68019774
     156           75.77918030         32.90066072         42.87851958        241.42686617        188.43047913      32818.03482019
     157           76.06000527         29.22806292         46.83194235        267.73961267        167.39657439      45407.69673372
