     istep               E_tot               E_kin               E_pot              F_norm                Temp            Pressure
      none              kJ/mol              kJ/mol              kJ/mol          kJ/(Åmol)                   K                  Pa
      45          129.03894606         93.62058169         35.41836437        460.09810153        187.66613608      38466.55326871
      46          129.82532361         85.72317358         44.10215003        606.55509824        171.83547110      33542.20907035
      47          130.18309629         82.95215779         47.23093849        654.29788341        166.28086102      26928.90197998
      48          129.68581087         90.18527761         39.50053326        556.76215531        180.77993401      21255.63959805
      49          128.91383898        100.72186569         28.19197328        374.73856348        201.90093900      16454.80163093
      50          128.76205417        104.10919997         24.65285420        333.83515482        208.69098372      11527.43478613
      51          129.37620876         98.22652220         31.14968657        507.50853498        196.89892487       7481.54331777
      52          129.98786362         91.27235663         38.71550699        643.78990210        182.95902664       7444.76489159
      53          129.85048999         91.44116914         38.40932085        639.47703645        183.29741795      13436.64147944
      54          129.14695430         96.88432138         32.26263292        507.91477304        194.20843058      23483.52310973
      55          128.77414792         98.18085382         30.59329410        380.06059171        196.80738082      32635.63866746
      56          129.25825533         90.41529898         38.84295635        447.72103007        181.24102090      37024.34847097
      57          130.09633928         80.22974378         49.86659550        595.23837220        160.82367511      36582.76545644
      58          130.32238731         78.98373223         51.33865508        646.42278414        158.32599598      33644.25077123
      59          129.64176204         89.68687800         39.95488405        555.19005732        179.78087240      29442.39158051
      60          128.79591332        103.04359759         25.75231573        380.24593193        206.55494186      22875.24947384
      61          128.71511147        107.52633919         21.18877227        330.79691749        215.54077361      13015.33476833
      62          129.43717250        101.97644221         27.46073029        486.76084443        204.41578695       2158.84998986
      63          130.05968457         96.09207382         33.96761075        611.91405836        192.62033920      -4693.25108509
      64          129.80277119         98.21062377         31.59214742        601.98189783        196.86705586      -3946.75146699
      65          128.95164550        104.81649001         24.13515549        472.46549916        210.10877441       3218.38039189
      66          128.55590893        104.49180002         24.06410891        369.83660169        209.45792055      12016.72318690
      67          129.20006924         92.14319693         37.05687231        476.90874278        184.70466025      18555.71492303
      68          130.26914218         76.81094888         53.45819330        640.82545026        153.97056635      22714.97144854
      69          130.59692268         73.17320918         57.42371350        693.95914021        146.67857413      26373.02716850
      70          129.79041557         85.64846179         44.14195378        591.12154639        171.68570837      29399.37521946
      71          128.70971333        103.11437686         25.59533647        385.68806447        206.69682168      28501.38679629
      72          128.51592853        110.69010243         17.82582610        306.93599957        221.88266138      20700.20853782
      73          129.34866004        105.55845362         23.79020642        488.52231414        211.59606962       7628.32006474
      74          130.16265332         98.86443112         31.29822220        641.95077306        198.17763839      -4511.46941979
      75          129.94516553        101.54231227         28.40285326        645.20248268        203.54555641      -9825.20801176
      76          128.91939123        110.62270388         18.29668736        502.59475525        221.74755833      -7459.58693490
      77          128.31661320        112.30235227         16.01426093        343.83385132        225.11447956      -1241.79583228
      78          128.94974111         98.63651811         30.31322300        418.11142660        197.72077780       5052.05779250
      79          130.23340814         78.49841849         51.73498964        600.41159839        157.35316552      11247.34260103
      80          130.80350761         69.53569759         61.26781002        680.39136271        139.38703917      19180.15271478
      81          130.04798577         79.56773928         50.48024650        604.29087740        159.49666106      28186.46645837
      82          128.80322583         98.24912670         30.55409913        422.06220797        196.94423649      33464.26497205
      83          128.41462114        108.47653472         19.93808643        331.79145860        217.44547789      29861.83012901
      84          129.22254061        104.74317372         24.47936689        475.88261396        209.96180902      17273.32424176
      85          130.19456145         97.81901108         32.37555037        613.92843200        196.08205282       1652.11598736
      86          130.12603077        100.75062012         29.37541065        610.33278486        201.95857837      -9735.31136150
      87          129.04193317        112.52300155         16.51893162        457.11167104        225.55677971     -13930.72726854
      88          128.19351540        118.44819406          9.74532135        278.08246880        237.43406100     -13040.20334552
      89          128.63644582        107.20016780         21.43627802        382.67037390        214.88695024      -9914.81807700
      90          129.99957774         85.11819215         44.88138560        603.09322947        170.62276202      -4200.27247121
      91          130.85683239         71.03937034         59.81746205        710.69780985        142.40121029       6463.71207110
      92          130.30573863         76.78343529         53.52230334        649.98149880        153.91541427      21541.21039107
      93          128.97817806         94.83528332         34.14289474        459.24065406        190.10105323      35077.23111331
      94          128.33177676        106.98417514         21.34760162        321.73985314        214.45398445      39263.47146858
      95          129.01085092        104.22421023         24.78664069        458.13610067        208.92152629      30969.32381606
      96          130.13500712         95.58025273         34.55475438        628.12021754        191.59437372      14528.65728612
      97          130.32983985         96.18785325         34.14198659        660.25471849        192.81233284      -2108.43641078
      98          129.32083291        108.64310242         20.67773049        532.25793850        217.77936939     -13711.60412305
      99          128.25843255        119.27376024          8.98467231        336.93610769        239.08894086     -20074.08472892
