     istep               E_tot               E_kin               E_pot              F_norm                Temp            Pressure
      none              kJ/mol              kJ/mol              kJ/mol          kJ/(Åmol)                   K                  Pa
      32           55.46792644         25.79336198         29.67456446        258.20439056        147.72516566      -1012.36005057
      33           55.56773220         30.96652075         24.60121145        131.70633943        177.35316595       4784.41028995
      34           55.90418077         32.04875026         23.85543050        115.94428028        183.55137054      10645.51419188
      35           56.42925986         29.30720770         27.12205216        219.70261123        167.84985673      15391.02621145
      36           56.90110220         25.75535405         31.14574816        280.05405784        147.50748453      18710.72694879
      37           57.15613361         23.85639244         33.29974116        270.58586804        136.63164689      20526.44321156
      38           57.28577216         23.25921209         34.02656007        217.99044584        133.21144262      20519.07533618
      39           57.51557626         22.00946231         35.50611395        202.90042675        126.05380675      18489.11565408
      40           57.93093746         19.60276668         38.32817078        264.22080421        112.27004675      15088.81023421
      41           58.37226097         18.12586937         40.24639160        324.28683327        103.81147902      11891.79455675
      42           58.62511251         20.01771634         38.60739618        327.85734505        114.64656932      10453.26142782
      43           58.68589038         25.00518461         33.68070577        268.40494091        143.21107273      11182.05417479
      44           58.79242205         29.83917000         28.95325205        187.49219373        170.89654057      13138.57141440
      45           59.17783923         31.31463977         27.86319946        182.50703187        179.34693242      14928.89449938
      46           59.82371692         29.31826818         30.50544874        250.46350513        167.91320291      15741.61543455
      47           60.48949493         26.60185987         33.88763507        292.76294156        152.35563937      15523.74398532
      48           60.98151114         25.66091730         35.32059384        274.65942019        146.96662122      14334.78749566
      49           61.35666449         26.28769372         35.06897077        217.23742798        150.55632969      11837.42732385
      50           61.83571275         26.46092763         35.37478512        199.82080592        151.54848449       7637.28639127
      51           62.53423948         25.33099820         37.20324128        263.94265114        145.07709031       2089.84927206
      52           63.32414545         24.66067942         38.66346602        329.63679847        141.23800364      -3457.40080273
      53           63.98323902         26.92377820         37.05946081        339.08059388        154.19934782      -7449.37861306
      54           64.45705186         32.20091618         32.25613568        281.87593164        184.42286358      -9241.01929753
      55           64.92867415         37.50137638         27.42729778        192.50342666        214.77995163      -9433.74769024
      56           65.61324174         39.45476226         26.15847948        171.36029185        225.96749102      -9123.04305146
      57           66.50950320         37.50697688         29.00252631        244.40732619        214.81202715      -8889.81366280
      58           67.39168070         34.16235172         33.22932898        301.93914080        195.65650540      -8573.16189149
      59           68.05139053         32.12187837         35.92951215        298.40866196        183.97019389      -7921.53528673
      60           68.51304042         31.61151948         36.90152094        244.92832523        181.04723825      -7220.52046170
      61           68.97762790         30.84973412         38.12789378        205.67962619        176.68429916      -7080.65027038
      62           69.56524997         28.89844100         40.66680897        244.30604428        165.50874552      -7619.07824937
      63           70.15968688         27.37962689         42.78005999        304.33020870        156.81010955      -8043.60741676
      64           70.53728013         28.91242953         41.62485060        317.69565420        165.58886140      -7229.25649530
      65           70.62971540         34.00843923         36.62127617        266.10038903        194.77500929      -4743.36073491
      66           70.61432010         40.03045584         30.58386426        177.12026097        229.26463503      -1237.60973389
      67           70.72514121         43.51500156         27.21013965        148.42042676        249.22151752       2193.33964303
      68           70.99945289         43.35681340         27.64263948        220.67662083        248.31553359       4965.88333466
      69           71.24674803         41.41763015         29.82911788        280.66117416        237.20933627       7261.97877830
      70           71.27090027         40.07402099         31.19687929        281.70198846        229.51414376       9414.17742128
      71           71.08883854         39.63012543         31.45871311        232.64917312        226.97184064      11237.60634859
      72           70.89912471         38.50890853         32.39021618        192.31542027        220.55034537      12130.01318766
      73           70.84412263         35.80381052         35.04031212        226.04328512        205.05755879      11811.24625064
      74           70.84374935         33.01474193         37.82900742        285.00964193        189.08385131      10792.43052812
      75           70.69166162         32.77367826         37.91798337        302.46257811        187.70321813       9961.13302501
      76           70.30127425         35.91527508         34.38599916        260.53551388        205.69594480       9696.38547069
