     istep               E_tot               E_kin               E_pot              F_norm                Temp            Pressure        COM_momentum
      none              kJ/mol              kJ/mol              kJ/mol          kJ/(Åmol)                   K                  Pa              gÅ/fs
      74          103.74614021         43.52466310         60.22147710        469.89474371        249.27685166      24288.86027367          0.00000000
      75          103.54197985         43.36355854         60.17842131        494.29607034        248.35416469      29142.93827954          0.00000000
      76          102.97530482         48.77948323         54.19582159        436.75919348        279.37254740      34985.30156470          0.00000000
      77          102.24071555         56.63883856         45.60187699        326.09977734        324.38508080      38517.77985498          0.00000000
      78          101.64262272         62.13774233         39.50488039        250.05039432        355.87870582      36599.14606885          0.00000000
      79          101.24241906         63.27356480         37.96885426        283.05639027        362.38385094      28179.96858843          0.00000000
      80          100.82183282         61.86051802         38.96131480        341.80998909        354.29097148      14864.07249852          0.00000000
      81          100.18361765         60.42927843         39.75433922        353.52783837        346.09389714       -204.05821776          0.00000000
      82           99.40969778         59.08225345         40.32744433        325.62142323        338.37914134     -13900.52570950          0.00000000
      83           98.76804662         56.03527049         42.73277613        316.82251669        320.92829243     -23862.38064234          0.00000000
      84           98.38849631         50.87594621         47.51255010        362.54930627        291.37952581     -28413.19457216          0.00000000
      85           98.09481814         46.26358720         51.83123095        416.88752035        264.96336882     -26635.74836533          0.00000000
      86           97.59207782         45.70871707         51.88336076        426.85991809        261.78548599     -19088.00200915          0.00000000
      87           96.79792972         49.80887862         46.98905110        382.00863525        285.26815746      -8440.30993240          0.00000000
      88           95.94122137         55.29413903         40.64708234        321.91482597        316.68364345       1091.58921872          0.00000000
      89           95.31434847         58.13885920         37.17548927        316.46448902        332.97608175       5622.05868200          0.00000000
      90           94.96002875         57.37356158         37.58646718        365.98156035        328.59302699       3506.22527775          0.00000000
      91           94.64930839         55.41500741         39.23430098        396.16968872        317.37588753      -4167.96927150          0.00000000
      92           94.17241843         54.71806840         39.45435003        360.88110353        313.38433999     -14676.06535199          0.00000000
      93           93.59882787         54.77342201         38.82540586        270.52635293        313.70136425     -25131.27335181          0.00000000
      94           93.19476460         53.00600486         40.18875974        217.98907039        303.57891522     -33128.05995878          0.00000000
      95           93.08976891         48.45428525         44.63548366        300.35164095        277.51005558     -36621.94813277          0.00000000
      96           93.09017023         43.70774167         49.38242856        413.08016143        250.32538934     -34083.57721228          0.00000000
      97           92.87349618         42.55584042         50.31765575        471.68166224        243.72815696     -25446.37394610          0.00000000
      98           92.34485646         45.91135247         46.43350399        463.19728464        262.94603065     -13006.94198066          0.00000000
      99           91.73701312         50.72838206         41.00863106        422.78231805        290.53438827       -975.90153642          0.00000000
     100           91.33799570         53.19428708         38.14370863        406.60990524        304.65725552       6467.98764893          0.00000000
     101           91.17162126         52.50216862         38.66945264        426.75588963        300.69331651       7234.25243077          0.00000000
     102           91.00480414         50.93021283         40.07459132        436.36572117        291.69032456       1944.11045392          0.00000000
     103           90.65896966         50.41260331         40.24636635        398.82069036        288.72584281      -7020.26958735          0.00000000
     104           90.24261094         49.92207778         40.32053316        328.79554309        285.91647789     -16811.52643741          0.00000000
     105           90.02413559         46.89710951         43.12702608        297.77905168        268.59171277     -24665.67575352          0.00000000
     106           90.09686855         41.00166404         49.09520451        350.82035163        234.82699221     -27911.84887167          0.00000000
     107           90.23573556         35.60127910         54.63445645        419.46847853        203.89760970     -24444.38276547          0.00000000
     108           90.12351225         34.90245023         55.22106202        436.53417855        199.89523840     -13968.74518780          0.00000000
     109           89.69655576         39.74558108         49.95097468        387.02054260        227.63308460        985.59040839          0.00000000
     110           89.21807089         46.71438960         42.50368129        305.80836006        267.54522921      15586.65089990          0.00000000
     111           88.99339743         51.56498707         37.42841037        270.75830071        295.32583862      24819.54756687          0.00000000
     112           89.04886674         53.14842759         35.90043915        309.49222403        304.39460653      25759.80352189          0.00000000
     113           89.13816917         53.53474584         35.60342334        344.98733704        306.60714971      18412.88038786          0.00000000
     114           89.06317123         54.50169693         34.56147430        324.93789956        312.14512536       4919.35881313          0.00000000
     115           88.92778548         54.79246395         34.13532153        264.78468831        313.81042225     -11672.70519360          0.00000000
     116           89.01558166         51.59649434         37.41908732        252.53567459        295.50628883     -27948.55492663          0.00000000
     117           89.42589006         44.58456438         44.84132568        334.54589009        255.34717670     -40188.69901474          0.00000000
     118           89.90333750         37.54942210         52.35391540        422.99770590        215.05512175     -45026.24796482          0.00000000
     119           90.08221517         35.29467426         54.78754091        452.80904098        202.14160552     -41036.77418597          0.00000000
     120           89.87803955         38.99057438         50.88746517        417.11420357        223.30896860     -30103.27650151          0.00000000
     121           89.57500808         45.19700171         44.37800637        362.29772886        258.85476156     -17024.77952715          0.00000000
