     istep               E_tot               E_kin               E_pot              F_norm                Temp            Pressure        COM_momentum            CV_value           Inst_Bias            Tot_Bias
      none              kJ/mol              kJ/mol              kJ/mol          kJ/(Åmol)                   K                  Pa              gÅ/fs                                  kJ/mol              kJ/mol
      61           44.23864228         15.94917611         28.28946618        233.26632951         91.34500126       9093.49997092          0.00000000          1.13486927          0.00000000          0.00000000
      62           44.24452828         15.56059441         28.68393387        243.03664943         89.11949473       9036.93914303          0.00000000          1.13510478          0.00000000          0.00000000
      63           44.25172493         15.13199479         29.11973014        253.48362804         86.66479533       8971.31213972          0.00000000          1.13533332          0.00000000          0.00000000
      64           44.26036979         14.66707626         29.59329353        264.43758800         84.00208831       8897.89301584          0.00000000          1.13555448          0.00000000          0.00000000
      65           44.27058784         14.17008604         30.10050180        275.74029164         81.15569849       8818.09410292          0.00000000          1.13576783          0.00000000          0.00000000
      66           44.28248986         13.64577097         30.63671890        287.24618667         78.15281229       8733.45182694          0.00000000          1.13597297          0.00000000          0.00000000
      67           44.29617095         13.09932259         31.19684836        298.82250906         75.02316298       8645.61077626          0.00000000          1.13616949          0.00000000          0.00000000
      68           44.31170925         12.53631641         31.77539285        310.34872165         71.79868291       8556.30620076          0.00000000          1.13635701          0.00000000          0.00000000
      69           44.32916487         11.96264612         32.36651875        321.71562358         68.51312681       8467.34514322          0.00000000          1.13653517          0.00000000          0.00000000
      70           44.34857898         11.38445360         32.96412537        332.82434583         65.20167071       8380.58642205          0.00000000          1.13670358          0.00000000          0.00000000
      71           44.36997320         10.80805544         33.56191777        343.58535936         61.90049135       8297.91969977          0.00000000          1.13686193          0.00000000          0.00000000
      72           44.39334920         10.23986696         34.15348224        353.91756269         58.64633094       8221.24388396          0.00000000          1.13700987          0.00000000          0.00000000
      73           44.41868848          9.68632464         34.73236384        363.74747828         55.47605283       8152.44511722          0.00000000          1.13714710          0.00000000          0.00000000
      74           44.44595247          9.15380784         35.29214463        373.00856481         52.42619325       8093.37461906          0.00000000          1.13727333          0.00000000          0.00000000
