     istep               E_tot               E_kin               E_pot              F_norm                Temp            Pressure
      none              kJ/mol              kJ/mol              kJ/mol          kJ/(Åmol)                   K                  Pa
      96           50.35804669         22.24671946         28.11132723        277.68373323        127.41263895       8080.51097803
      97           50.59096147         22.76458008         27.82638138        280.75364722        130.37855890       2810.34213935
      98           50.69918917         24.39190099         26.30728818        250.06017537        139.69864098      -1857.90410931
      99           50.80309714         25.78589261         25.01720452        215.47051294        147.68238671      -5196.54858690
     100           51.05710077         25.33419226         25.72290852        229.84483226        145.09538350      -7005.97790655
     101           51.48454699         23.01184922         28.47269777        284.39681516        131.79473234      -7229.39774184
     102           51.96234150         20.48717190         31.47516960        324.31836563        117.33526114      -5904.55544819
     103           52.36818353         19.35976098         33.00842255        320.89924510        110.87829109      -3497.84636949
     104           52.71609928         19.57234559         33.14375369        281.31175556        112.09581742      -1082.55718568
     105           53.12245750         19.80615541         33.31630209        244.91718283        113.43490589         84.38036876
     106           53.64667155         19.31816519         34.32850637        251.03335703        110.64006139       -654.10723847
     107           54.20027629         18.97657536         35.22370093        278.76037070        108.68368929      -2930.31877330
     108           54.63720731         20.21305565         34.42415166        281.84049858        115.76532743      -5691.61774737
     109           54.92215596         23.11073151         31.81142445        244.40286056        132.36105644      -7942.97948404
     110           55.17824342         25.93450187         29.24374155        192.85080730        148.53350981      -9172.59452757
     111           55.55339200         26.77755403         28.77583797        190.76169508        153.36188468      -9183.54413801
     112           56.05607470         25.52503622         30.53103848        244.28766940        146.18839555      -7762.42963159
     113           56.54910094         23.90835797         32.64074297        290.85882213        136.92926674      -4757.88533042
     114           56.90906214         23.57170742         33.33735472        299.36560517        135.00118309       -560.89678191
     115           57.16756415         24.33768244         32.82988171        279.18698669        139.38811749       3625.11744525
     116           57.47032377         24.62543993         32.84488384        268.08881296        141.03617809       6222.36753637
     117           57.90026601         23.49460721         34.40565880        290.83737021        134.55961057       6179.02435089
     118           58.36963578         21.90928035         36.46035543        320.59833855        125.48003908       3545.69174252
     119           58.70967832         21.71323831         36.99644001        318.22160265        124.35725631       -766.59289933
     120           58.86012066         23.46690293         35.39321773        271.38908227        134.40094107      -5723.04455097
     121           58.94310296         25.65826458         33.28483838        208.76901104        146.95142841     -10630.90344223
     122           59.13407993         26.26497825         32.86910167        204.00264707        150.42623242     -14980.86384716
     123           59.47292210         24.94073487         34.53218723        268.41532114        142.84195265     -18083.32177321
     124           59.82890781         23.33971550         36.48919231        327.09593743        133.67250620     -19150.13210417
     125           60.05884808         23.20049515         36.85835293        339.94610155        132.87515572     -17890.89122898
     126           60.17486035         24.39318951         35.78167085        309.96231719        139.70602065     -14981.39407304
     127           60.32572613         25.19157093         35.13415519        274.16827136        144.27855479     -11779.95388024
     128           60.61250593         24.45143911         36.16106683        274.70162922        140.03963096      -9440.79318129
     129           60.95506874         23.12960418         37.82546455        299.39395469        132.46914508      -8237.19030027
     130           61.17038357         23.30192012         37.86846345        301.47143657        133.45604243      -7693.03830597
     131           61.17730587         25.73999796         35.43730790        258.48509434        147.41953633      -7259.27838019
     132           61.09242807         28.83335302         32.25907505        190.99470420        165.13597007      -6736.49352793
     133           61.10383902         30.16551692         30.93832210        173.68048789        172.76561265      -6034.39142885
     134           61.26414080         29.03438253         32.22975827        234.92942821        166.28731735      -4701.72132821
     135           61.43714910         27.10907318         34.32807592        295.35870408        155.26057942      -1963.59992145
     136           61.45728976         26.50833478         34.94895498        311.70681856        151.81999735       2595.69578463
     137           61.31873622         27.48647381         33.83226241        287.52560976        157.42204913       8378.35911099
     138           61.17942680         28.32291451         32.85651229        262.75014235        162.21255849      13897.50498155
     139           61.17749676         27.48253644         33.69496032        280.35005392        157.39949883      17655.73438730
     140           61.27085119         25.53573849         35.73511270        322.49189202        146.24969023      18977.97129974
     141           61.28327974         24.62067279         36.66260695        340.24269525        141.00887546      18077.99090236
     142           61.10566646         26.04345694         35.06220952        309.69364328        149.15752335      15470.23183927
     143           60.82463038         28.74444817         32.08018222        244.69391209        164.62678929      11489.93488914
     144           60.63193522         30.38934396         30.24259126        203.23625311        174.04752723       6443.30662855
     145           60.61587743         29.86789835         30.74797908        236.23895625        171.06107516       1081.72496327
     146           60.67097977         28.38366648         32.28731328        290.22011869        162.56050053      -3348.13247194
