     istep               E_tot               E_kin               E_pot              F_norm                Temp            Pressure        COM_momentum
      none              kJ/mol              kJ/mol              kJ/mol          kJ/(Åmol)                   K                  Pa              gÅ/fs
     105        321.05318945        332.26713345        -11.21394400         42.01349964        266.41701196     396149.83815061          0.00000000
     106        321.05318150        332.29043111        -11.23724961         41.05119926        266.43569239     396042.74726523          0.00000000
     107        321.05317657        332.30951335        -11.25633677         40.17378176        266.45099283     395959.74593345          0.00000000
     108        321.05317452        332.32423120        -11.27105668         39.38253271        266.46279384     395901.82700929          0.00000000
     109        321.05312154        332.33448093        -11.28135939         38.67771490        266.47101223     395869.52610142          0.00000000
     110        321.05323153        332.34019998        -11.28696845         38.05863184        266.47559785     395864.01082976          0.00000000
     111        321.05318294        332.34136312        -11.28818019         37.52370908        266.47653048     395884.43564196          0.00000000
     112        321.05318972        332.33797877        -11.28478904         37.07059589        266.47381685     395931.52015947          0.00000000
     113        321.05319807        332.33008541        -11.27688734         36.69627154        266.46748784     396004.90275898          0.00000000
     114        321.05326138        332.31774838        -11.26448700         36.39716927        266.45759581     396104.40609315          0.00000000
     115        321.05332568        332.30105627        -11.24773058         36.16929988        266.44421181     396229.34499033          0.00000000
     116        321.05333741        332.28011766        -11.22678025         36.00837423        266.42742291     396378.90338368          0.00000000
     117        321.05334988        332.25505836        -11.20170848         35.90992219        266.40732997     396552.50525359          0.00000000
     118        321.05330930        332.22601879        -11.17270949         35.86940076        266.38404558     396749.12019940          0.00000000
     119        321.05332274        332.19315136        -11.13982862         35.88228980        266.35769196     396968.16861544          0.00000000
     120        321.05339001        332.15661832        -11.10322831         35.94417507        266.32839920     397208.64482181          0.00000000
     121        321.05340390        332.11658973        -11.06318582         36.05081460        266.29630364     397469.13038613          0.00000000
     122        321.05341786        332.07324165        -11.01982379         36.19819133        266.26154647     397748.69389056          0.00000000
     123        321.05343180        332.02675475        -10.97332294         36.38255133        266.22427254     398046.18926006          0.00000000
     124        321.05339214        331.97731305        -10.92392091         36.60042872        266.18462941     398360.26401659          0.00000000
     125        321.05335223        331.92510265        -10.87175043         36.84866802        266.14276629     398689.89970035          0.00000000
     126        321.05341933        331.87031052        -10.81689119         37.12440779        266.09883310     399034.24262220          0.00000000
     127        321.05337912        331.81312396        -10.75974484         37.42510758        266.05298002     399391.36123478          0.00000000
     128        321.05349929        331.75373010        -10.70023081         37.74852256        266.00535709     399760.91885798          0.00000000
     129        321.05361914        331.69231550        -10.63869636         38.09268587        265.95611389     400141.15332523          0.00000000
     130        321.05363162        331.62906568        -10.57543406         38.45592636        265.90539919     400530.48038466          0.00000000
     131        321.05369732        331.56416510        -10.51046778         38.83680050        265.85336089     400928.20539985          0.00000000
     132        321.05376287        331.49779726        -10.44403439         39.23410099        265.80014611     401332.92441275          0.00000000
     133        321.05382819        331.43014455        -10.37631636         39.64683510        265.74590111     401743.41189566          0.00000000
     134        321.05378622        331.36138879        -10.30760257         40.07418797        265.69077165     402158.08719711          0.00000000
     135        321.05390473        331.29171149        -10.23780677         40.51550242        265.63490330     402576.61297923          0.00000000
     136        321.05391603        331.22129415        -10.16737812         40.97025518        265.57844157     402996.87067529          0.00000000
     137        321.05392729        331.15031877        -10.09639149         41.43802175        265.52153240     403417.98073298          0.00000000
     138        321.05393854        331.07896866        -10.02503013         41.91845047        265.46432276     403838.69876364          0.00000000
     139        321.05400326        331.00742913         -9.95342587         42.41123016        265.40696123     404257.94512459          0.00000000
     140        321.05401471        330.93588795         -9.88187324         42.91605833        265.34959839     404674.09224594          0.00000000
