     istep               E_tot               E_kin               E_pot              F_norm                Temp            Pressure        COM_momentum
      none              kJ/mol              kJ/mol              kJ/mol          kJ/(Åmol)                   K                  Pa              gÅ/fs
      69        353.94337364        368.74537222        -14.80199858         33.24485485        295.66583737     412704.07837148          0.00000000
      70        353.94338911        368.63305753        -14.68966842         34.22571294        295.57578168     413548.77807312          0.00000000
      71        353.94345916        368.52108314        -14.57762398         35.20439341        295.48599886     414390.56836007          0.00000000
      72        353.94342298        368.40973100        -14.46630802         36.17809165        295.39671496     415227.01240305          0.00000000
      73        353.94349459        368.29929558        -14.35580099         37.14385896        295.30816611     416056.84425914          0.00000000
      74        353.94345995        368.19008287        -14.24662292         38.09862014        295.22059764     416877.31000358          0.00000000
      75        353.94347946        368.08240885        -14.13892939         39.03918315        295.13426292     417686.84205251          0.00000000
      76        353.94355306        367.97659808        -14.03304501         39.96225580        295.04942217     418483.29266339          0.00000000
      77        353.94357348        367.87298176        -13.92940828         40.86446819        294.96634098     419264.12263088          0.00000000
      78        353.94359414        367.77189569        -13.82830156         41.74239493        294.88528859     420027.30385950          0.00000000
      79        353.94356131        367.67367826        -13.73011695         42.59257834        294.80653630     420770.44330465          0.00000000
      80        353.94363549        367.57866775        -13.63503226         43.41155730        294.73035538     421491.86575579          0.00000000
      81        353.94365591        367.48719980        -13.54354388         44.19589209        294.65701494     422188.85148680          0.00000000
      82        353.94356889        367.39960500        -13.45603612         44.94219729        294.58678006     422859.07441943          0.00000000
      83        353.94353471        367.31620606        -13.37267134         45.64717122        294.51990947     423500.97466067          0.00000000
      84        353.94360685        367.23731485        -13.29370800         46.30762782        294.45665326     424112.71035457          0.00000000
      85        353.94357091        367.16322984        -13.21965894         46.92052882        294.39725074     424691.64003219          0.00000000
      86        353.94364091        367.09423322        -13.15059231         47.48301466        294.34192816     425236.65200636          0.00000000
      87        353.94365601        367.03058812        -13.08693212         47.99243479        294.29089652     425745.51352284          0.00000000
      88        353.94366965        366.97253619        -13.02886654         48.44635848        294.24434956     426216.84299937          0.00000000
      89        353.94368160        366.92029498        -12.97661338         48.84267749        294.20246174     426649.23523849          0.00000000
      90        353.94374533        366.87405578        -12.93031044         49.17951765        294.16538642     427041.63170321          0.00000000
      91        353.94380722        366.83398177        -12.89017455         49.45533312        294.13325445     427392.79822206          0.00000000
      92        353.94381363        366.80020634        -12.85639271         49.66891046        294.10617278     427701.69114520          0.00000000
      93        353.94381777        366.77283138        -12.82901361         49.81937957        294.08422311     427967.82134078          0.00000000
      94        353.94381991        366.75192611        -12.80810620         49.90622546        294.06746093     428190.73023994          0.00000000
      95        353.94381991        366.73752678        -12.79370687         49.92929434        294.05591533     428370.16792548          0.00000000
      96        353.94381780        366.72963636        -12.78581856         49.88879455        294.04958866     428506.09679443          0.00000000
      97        353.94381358        366.72822443        -12.78441085         49.78529397        294.04845656     428598.69134603          0.00000000
      98        353.94380730        366.73322774        -12.78942044         49.61971375        294.05246829     428648.33537448          0.00000000
      99        353.94379906        366.74455070        -12.80075164         49.39331276        294.06154722     428655.61814701          0.00000000
     100        353.94368182        366.76206650        -12.81838468         49.10767840        294.07559166     428620.97159015          0.00000000
     101        353.94366993        366.78561875        -12.84194882         48.76470254        294.09447623     428546.08430879          0.00000000
     102        353.94370996        366.81502316        -12.87131319         48.36656156        294.11805314     428431.93467951          0.00000000
