istep  E_tot                                     E_kin                                    E_pot                F_norm                Temp                   Pressure              COM_momentum  CV_value     Inst_Bias     Tot_Bias
none   kJ/mol                                    kJ/mol                                   kJ/mol               kJ/(Åmol)             K                      Pa                    gÅ/fs         kJ/mol       kJ/mol
76     103.77468359                              41.14643339                              62.62825021          509.29339976          149.96298751           -1483024.88673761     0.00000000    0.58157375   0.00000000    0.00000000
77     103.87326784                              40.78413481                              63.08913303          514.22818087          148.64254797           -1443837.83071137     0.00000000    0.58174907   0.00000000    0.00000000
78     103.97425582                              40.48393238                              63.49032344          518.46823619          147.54842513           -1405204.39808829     0.00000000    0.58189955   0.00000000    0.00000000
79     104.07750291                              40.25157838                              63.82592454          521.96485921          146.70158378           -1367182.37431650     0.00000000    0.58202490   0.00000000    0.00000000
80     104.18284612                              40.09222804                              64.09061808          524.67481019          146.12081286           -1329834.94636328     0.00000000    0.58212483   0.00000000    0.00000000
81     104.29010595                              40.01036758                              64.27973838          526.56030144          145.82246282           -1293231.49547342     0.00000000    0.58219911   0.00000000    0.00000000
82     104.39908849                              40.00974967                              64.38933882          527.58898261          145.82021078           -1257448.26986068     0.00000000    0.58224751   0.00000000    0.00000000
83     104.50958762                              40.09333752                              64.41625010          527.73393009          146.12485648           -1222568.92397991     0.00000000    0.58226984   0.00000000    0.00000000
84     104.62138744                              40.26325801                              64.35812944          526.97364400          146.74415156           -1188684.91274861     0.00000000    0.58226593   0.00000000    0.00000000
85     104.73426478                              40.52076466                              64.21350013          525.29205568          147.68266466           -1155895.73097476     0.00000000    0.58223567   0.00000000    0.00000000
86     104.84799182                              40.86621086                              63.98178095          522.67854870          148.94168376           -1124308.99028413     0.00000000    0.58217893   0.00000000    0.00000000
87     104.96233875                              41.29903379                              63.66330496          519.12799627          150.51915752           -1094040.32799291     0.00000000    0.58209565   0.00000000    0.00000000
88     105.07707651                              41.81774914                              63.25932737          514.64081857          152.40967625           -1065213.14463069     0.00000000    0.58198579   0.00000000    0.00000000
89     105.19197947                              42.41995691                              62.77202255          509.22306416          154.60449290           -1037958.16904802     0.00000000    0.58184933   0.00000000    0.00000000
90     105.30682808                              43.10235821                              62.20446986          502.88652041          157.09158423           -1012412.85262610     0.00000000    0.58168630   0.00000000    0.00000000
